city,name,location,airconditioning,freeparking,hairdryer,heating,hostedbyabusiness,kitchen,pool,washer,wifi,roomtype,detailed_location,guests,bedrooms,beds,bathrooms,discountedprice,score,price,reviewnumber,link,air_conditioning,baby_bath,baby_monitor,babysitter_recommendations,baking_sheet,barbecue_utensils,bathtub,beach_essentials,beachfront,bed_linens,bread_maker,breakfast,building_staff,cable_,carbon_monoxide_alarm,changing_table,children,cleaning_before_checkout,coffee_maker,cooking_basics,crib,darkening_shades,dishes_and_silverware,dishwasher,dryer,elevator,essentials,ethernet_connection,extra_pillows_and_blankets,fire_extinguisher,fireplace_guards,first_aid_kit,free_parking_on_premises,free_street_parking,friendly_workspace,game_console,garden_or_backyard,gym,hair_dryer,hangers,heating.1,high_chair,host_greets_you,hot_tub,hot_water,in,indoor_fireplace,iron,keypad,kitchen.1,lake_access,laptop,lock_on_bedroom_door,lockbox,long_term_stays_allowed,luggage_dropoff_allowed,microwave,n_,outlet_covers,oven,pack_,paid_parking_off_premises,paid_parking_on_premises,patio_or_balcony,piano,pocket_wifi,pool.1,private_entrance,private_living_room,refrigerator,room,s_books_and_toys,s_dinnerware,shampoo,shower_gel,single_level_home,ski,smart_lock,smoke_alarm,stair_gates,stove,table_corner_guards,unavailable,washer.1,waterfront,wifi.1,window_guards,reviews,response_time,response_rate,languages
Montreal,RENT FOR A MONTH  TERRACE PARKING LITTLE ITALY ,Montreal,0,1,0,0,0,1,0,0,1,Entire apartment,Mile End,4.0,2,2.0,1,71.0,4.74,76,38.0,http://airbnb.com/rooms/37072761?adults=1&location=Montreal%2C%20Qu%C3%A9bec%2C%20Canada&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=cf199197-3c75-4fad-9fd4-c8da80b9220e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,1,0,"['MichelleJanuary 2020Very clean, bright apartment with large rooms. The host left us fresh ground coffee from a local place and gave great suggestions on places to check out. We had a great stay!**', '**DanielJanuary 2020GREAT location, clean place, exactly as advertised, what’s not to like?? Would stay there again in a heartbeat.**', '**RohithJanuary 2020Matt is an amazing host! His place is very clean, and very nicely furnished, located in a nice neighborhood. He is very helpful and very available. It snowed while we were there and he took it on himself to shovel for us and even cleaned our car. Very friendly and hospitable!Matt is an amazing host! His place is very clean, and very nicely furnished, located in a nice neighborhood. He is very helpful and very available. It snowed while we were there an… read more**', '**AustinDecember 2019Pictures don’t do this place justice. When we arrived, we immediately weren’t able to believe how large, clean and cozy the space is! Add free parking and the great neighborhood and this place is such a good deal! Matt was a great communicator and offered us amazing tips. We hope to stay again on our next visit. Thank you, Matt!**', '**MarieDecember 2019Great place, very convenient, new and clean.\nFantastic location. Quiet and yet close to everything.**', '**ReeseNovember 2019it’s a really good location, close to a bunch of different places. looks nice inside and was very clean.**', '**']",within an hour,100,"['English', ' Français']"
Amman,Jabal Al Weibdeh Roof Apartment. ,Amman,0,0,0,0,0,1,0,0,1,Private room,Amman,2.0,1,2.0,1,11.0,4.11,11,19.0,http://airbnb.com/rooms/36939650?location=Amman%2C%20Jordani%C3%AB&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=1746af96-413e-41d6-8aac-861b55a09428,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,1,0,"['AndresNovember 2019Great communication. Very helpful. Easy check in. But the place was very very dirty. First Airbnb I’ve said anything bad about cleanliness.**', ""**LinglingSeptember 2019I stayed at this place for two nights and will NOT recommend it to anyone at all.  First,  I wasn't told that I will be sharing this tiny room with two more tenants.  Second,  I wasn't given a key nor any towels even though I asked for them.  The shared bathroom was quite dirty, and full of dirty plates stacked up in the kitchen sink.  Third, when I went out and was locked out because I didn't have a key and nobody is home,  I called Majd and he didn't respond until one hour later.  And he said he can't come but asked me to climb over the ladder to get to the roof and jump from the roof ( 4th floor  ) to the balcony "", "" it's 3 meters' high not to mention the balcony is on 4th floor "", "" totally violating my rights and risking my life.    This place also requires of going up and down many steep stairs to the street level to get to any stores or restaurants.   I don't think they should list this valueless apartment on Airbnb at all.  Period.I stayed at this place for two nights and will NOT recommend it to anyone at all.  First,  I wasn't told that I will be sharing this tiny room with two more tenants.  Second,  I wa… read more**"", '**LucasAugust 2019Great location and great hospitality**', '**MaëlMarch 2020Very nice place and friendly atmosphere**', '**JohnDecember 2019I recommend this place strongly**', '**NobuhikoNovember 2019good as airbnb. I can know how Jordanies live. Thank you.**', '**']",within a few hours,90,"['العربية', ' English']"
San Jose (Costa Rica),IX Economy room in amazing place ,San José,0,0,0,0,0,0,0,0,1,Hotel room,San José,2.0,1,1.0,1,22.0,4.45,24,159.0,http://airbnb.com/rooms/28277788?location=San%20Jose%2C%20Costa%20Rica&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=bf1f9a11-6fa5-4d00-844f-3f5c8f246bc8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,1,0,[''],within an hour,100,"['English', ' Español']"
Tokyo,6 min Sta. Very near Akihabara!!Good location/101 ,Bunkyo City,1,0,1,0,0,1,0,0,1,Entire apartment,Bunkyo City,2.0,1,1.0,1,42.0,4.46,45,61.0,http://airbnb.com/rooms/34794707?location=Tokyo%2C%20Japan&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=420c1c63-b829-4880-a4bf-b751fc27442f,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,"['MikeJune 2020Great location, communication, and a really easy check', ""in. Lots of restaurants and things to do around Akihabara. It's at the top of a really big hill, so good luck! Also stellar air conditioning, mini"", 'fridge, little place to cook, and a super', ""good value for this area. If you're looking for a little room to call your own, this place works great.Great location, communication, and a really easy check"", ""in. Lots of restaurants and things to do around Akihabara. It's at the top of a really big hill, so good luck! Also stellar a… read more**"", '**Pia TrâmMarch 2020The place is as described and true to the pictures. It’s small but sufficient for one person. There are several stations around but a little of a walk. It’s a good value for money, I would stay here again!**', '**SokamarintFebruary 2020Good value, good location, and super easy check', 'in and check', 'out process. Washing and drying machines for clothes super easy to use and are convenient!\n\nMasahiro was very efficient and timely with direct message communication!**', '**RebeccaJanuary 2020The location of the place is great, however I would not recommend staying the particular room we stayed in (located on the first floor). The rooms on higher floors may be better. The room is so small and does not work for two people, but my bigger concern was there was a bad smell from the bathroom. Also, being on the first floor you hear a lot of noise of people coming in and out which did not bother me, but I think it is good to know.The location of the place is great, however I would not recommend staying the particular room we stayed in (located on the first floor). The rooms on higher floors may be better. T… read more**', '**JamesJanuary 2020Lovely little spot built for people who want a solid home', 'base to come and pass out in after a day of adventuring through Tokyo**', '**CindyDecember 2019Size of room is small and takes some getting used to maneuvering around but after you get into the groove, it gets better. Perfect for just me, but I would imagine two people would be rather cramped. The location of this place makes up for it. Walkable from Ueno station (10', '15mins) and Akihabara. Super convenient location! I took the Shinkansen from Narita airport to Ueno Station and then a taxi to Airbnb.Size of room is small and takes some getting used to maneuvering around but after you get into the groove, it gets better. Perfect for just me, but I would imagine two people would… read more**', '**']",within an hour,100,"['ber: Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号Languages: 中文 (简体)', ' English', ' 日本語']"
Charlotte,Cute Apartment close to Charlotte Motor Speedway ,Charlotte,1,1,0,0,0,1,0,0,1,Entire apartment,Charlotte,4.0,2,2.0,1,108.0,5.0,116,7.0,http://airbnb.com/rooms/27509169?location=Charlotte%2C%20NC%2C%20United%20States&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=244b1759-cbdd-4eaa-9204-b2b6ae5b935e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['MartinJune 2020Larisa is a very good host!  She responds very quickly to messages and jumped to my aid when I needed it.  The house is clean and well located.  I highly recommend**', ""**MartinMay 2020A clean apartment, good position, very welcoming host and she responds quickly to messages.  That's why I extended my stay**"", '**MartinApril 2020Nice and clean apartment**', '**MatthewMarch 2020My family needed an extended stay and this property was perfect. It was clean and convenient. I was thoroughly pleased.**', '**AndreaDecember 2019Larissas home is wonderful! Spacious, has a full kitchen, washer and dryer. The bathroom was beautiful! Huge tub and access from the master bedroom. Also has a cute little balcony. I was coming from New Jersey and let her know I would be there until 2am and she went out and bought a master lock box and let me know the key would be inside for my arrival. She also answers the messages right away! And all the neighbors were super sweet! Will definitely come and stay again on my next visit.Larissas home is wonderful! Spacious, has a full kitchen, washer and dryer. The bathroom was beautiful! Huge tub and access from the master bedroom. Also has a cute little balcony.… read more**', '**NicoleNovember 2019The unit is in a great location close to restaurant and amenities. We walked into a sparkling clean condo. I would definitely stay again!**', '**']",within an hour,100,"['English', ' Русский']"
Cairo,Amazing 2 Bedroom Apartment in New Cairo ,Third New Cairo,1,0,0,0,0,1,0,1,1,Entire apartment,Third New Cairo,4.0,2,2.0,1,36.0,4.83,41,6.0,http://airbnb.com/rooms/38513008?location=Cairo%2C%20Egypt&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=b97641b4-fc2e-4a32-96ef-6eed48984977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
Tokyo,Great Access3 min walk to Sta Near Tokyo Tower#301 ,Minatoku,1,0,1,0,0,1,0,0,1,Entire apartment,Minato-ku,3.0,Studio,2.0,1,73.0,4.62,79,47.0,http://airbnb.com/rooms/32796297?location=Tokyo%2C%20Japan&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=4246a01c-4b6d-4dba-a27e-236e2450c390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
Bangkok,*Bangkok City Remarkable Choice near Skytrain WiFi ,Khet Khlong Toei,1,0,0,0,0,1,1,0,1,Entire apartment,Upper Sukhumvit,3.0,1,1.0,1,50.0,4.93,50,181.0,http://airbnb.com/rooms/20899136?location=Bangkok%20Thailand&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=dd16090e-04e6-4b0c-86f6-c5c469eb2257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,1,0,"['SandraFebruary 2020We could not have asked for a better place to stay in Bangkok. Beautiful building and amenities, every convenience. Alex is a wonderful host, so responsive,  and even arranged for a driver for us at a better rate than I could have. Woukd return.**', '**JonathanFebruary 2020Alex’s place was perfect for our stay in Bangkok. Everything we needed was included and the location was extremely convenient. Right next door to a Starbucks and 7 Eleven was a plus. Most of all, the unit was so clean. Alex was very helpful during our arrival and check', 'in which was most appreciated. If your dates happen to line up when his place is available', ' I highly suggest you reserve right away!**', ""**JulieJanuary 2020Alex's place was so stylish, comfortable and super clean. Just minutes from the train. Lots of restaurants and great breakfast places just steps away. Alex provided so much useful information for our first time in Bangkok. Check in and check out were super easy. Great experience!**"", '**DavidJanuary 2020Great spot for a great value!**', '**EricaJanuary 2020Alex was super friendly and helpful, he made the process easy and as detailed as possible. Wish more Airbnb host were like this.**', '**AmyJanuary 2020Amazing host and beautiful accommodations in the most spectacular hot spot in Bankok. If I return to Bankok I will DEFINITELY stay at one of Alex’s properties.**', '**']",within an hour,100,"['中文 (简体)', ' English', ' ภาษาไทย']"
New York,Courtyard King ,New York,1,0,0,0,0,0,0,0,1,Hotel room,Manhattan,2.0,1,1.0,1,95.0,4.0,95,10.0,http://airbnb.com/rooms/34071687?location=Manhattan%2C%20New%20York%20City%2C%20New%20York%2C%20Verenigde%20Staten&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=9b0fd20f-dcdd-477e-bc7b-a7950099362a,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"['FeliciaMay 2020Great space.  Definitely will revisit**', '**LeslyMay 2020Great place!**', '**MarcusMay 2020It was a cool stay**', '**ShaniqueMay 2020Arlo is a cute and cozy place to go when you want to just get away for a while . I definitely recommend coming here and I will definitely book another stay here. It has wonderful service.**', '**ShawnApril 2020They took my money and told me come see them in person to pay for a room like what the**', '**BrandonApril 2020Eh I wouldn’t book unless you know it’s a hotel**', '**']",within an hour,96,['Unknown']
Mexico City,Suite NY cocina/baño y entrada indep al sur DF ,Fracc. Santa Cecilia Coayoacán,0,0,0,0,0,1,0,1,1,Entire condominium,Fracc. Santa Cecilia Coayoacán,2.0,1,1.0,1,16.0,4.88,18,42.0,http://airbnb.com/rooms/35132607?location=Mexico-Stad%2C%20Mexico&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=63c5968d-79f4-4740-80b3-3660dda8ead8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,1,0,"['UmeshJune 2019Rocio is a great host with attention to detail and prompt responses to any questions. We stayed in the room called New York and it was wonderfully designed with all amenities including a dining table and kitchen. But the use of space is done so cleverly, it feels very spacious. Also the bathroom is very nice with the stand in shower. Rocio took great care of us and all amenities including towels, bath stuff were provided and re', 'supplied. We highly recommend this place for anyone visiting Mexico City. Also its in a very nice residential neighborhood so perfect for the long time rental as well.Rocio is a great host with attention to detail and prompt responses to any questions. We stayed in the room called New York and it was wonderfully designed with all amenities inclu… read more**', '**DirisdeliaJune 2020Muy cerca de todo**', '**CarlosFebruary 2020Excelente, Rocio siempre muy atenta!**', '**AlejandroNovember 2019Muy cómoda la estancia y muy amplio**', '**AlejandraApril 2020Excelente lugar para estadías cortas o largas. El trato de las anfitrionas fue de lo mejor, atentas en todo momento y amables. Con todas las comodidades y en un lugar muy seguro.**', '**TaniaFebruary 2020Ampliamente recomendable**', '**']",within an hour,100,"['English', ' Español']"
San Jose (Costa Rica),Casa Antigua en San José 3 ,Goicoechea,0,0,0,0,0,1,0,0,1,Private room,Goicoechea,3.0,1,2.0,2,16.0,4.89,16,19.0,http://airbnb.com/rooms/37451054?location=San%20Jose%2C%20Costa%20Rica&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=bf1f9a11-6fa5-4d00-844f-3f5c8f246bc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
Beijing,【浮生】全部可订月租优惠全屋消毒#国贸商圈望京直达近欢乐谷北工大旁地铁口文艺两居10号线14号线 ,Beijing,1,0,0,0,0,1,0,0,0,Entire house,Chaoyang,4.0,2,2.0,1,42.0,4.8,42,51.0,http://airbnb.com/rooms/31706401?location=Beijing&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=9b7035ca-70c5-4c71-b3a3-bb0c40c6f25f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,"['英恣January 2020房间很温馨,地方位置也很好找,交通很便利,门口有公交站,再多走几步有地铁,由于是快过年了,周边没有早饭店,找了好久都没找到｡卫生间台面略有小破损,其他都挺好的｡**', '**YangJanuary 2020非常整洁的一间房子｡两个房间都香香的,床上用品非常干净,也很舒服｡格局非常好,两个房间分别在客厅的南北｡房子离地铁很近,小区门口有个大市场,水果蔬菜很齐全,很便利｡餐具很多套,不用担心不够用｡总之很满意**', '**ShanJanuary 2020房间很美丽,性价比很高｡小区好安静,停车也很方便｡非常适合来京短途几天的住宿｡**', '**舒January 2020房东人很好啦 房间也很温暖**', '**胜男December 2019房间在老小区里面,应该是房东自己平时住的房子,总的面积不大但是该有的也都有了,总的来说还行,离地铁也很近**', '**HongyeDecember 2019整体真的很不错  是我目前为止最满意的一次民宿体验 刚开始入住遇到一些问题但也都很好的解决了 爱彼迎的客服也很好 房东人也很好 设施齐全 就是卫生间要是可以挂个帘子稍微隔一下就更好了 坐便器会被打湿 厕所没有排气扇有一点点味道 但整体卫生条件和居住环境都挺好的 以后再去北京应该会继续订这家**', '**']",within an hour,100,"['中文 (简体)', ' English', ' 日本語']"
Auckland,Small&perfectly formed urban Auckland oasis ,Auckland,0,0,0,1,0,0,0,0,1,Entire guest suite,Auckland,2.0,Studio,1.0,1,57.0,5.0,57,10.0,http://airbnb.com/rooms/42260754?location=Auckland%2C%20Nieuw-Zeeland&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=91c89899-3edc-4ccc-8990-59844f347b08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,"['AlejandroApril 2020Mary & Keith were very kind & accommodating hosts & made us very welcome. Nothing was too much trouble & they ensured we were comfortable & had everything we needed & more, even picking up groceries from the store without us even asking.  The space was cosy & homely with lovely sunshine on a nice day, we would highly recommend. Thanks again.Mary & Keith were very kind & accommodating hosts & made us very welcome. Nothing was too much trouble & they ensured we were comfortable & had everything we needed & more, even pi… read more**', '**FrancesJune 2020We received a lovely warm welcome from George when we arrived. Lovely homely wee studio with everything you needed and nice extra touches. Awesome location close to everywhere we needed to be. We would definitely come again. Thanks so much!**', '**KatieJune 2020Wonderful hosts and excellent stay. Clean, modern and close to all amenities it is a superb stay in Auckland. Very thoughtful touches of finding muffins, tea, coffee etc in the kitchen area were very much appreciated, a delightful surprise. Hosts were very kind, generous and helpful.Wonderful hosts and excellent stay. Clean, modern and close to all amenities it is a superb stay in Auckland. Very thoughtful touches of finding muffins, tea, coffee etc in the kit… read more**', ""**SabrinaJune 2020Mary's place is really lovely with a comfy bed and new bathroom. You also have a kitchen with a panini maker, which is great.\nThe location is perfect, walking distance to the centre and really cool areas for food and drinks.\nWe were welcomed nicely and would definitely recommend to stay at Mary's place.\nThanks so much.Mary's place is really lovely with a comfy bed and new bathroom. You also have a kitchen with a panini maker, which is great.\nThe location is perfect, walking distance to the centr… read more**"", '**AeMarch 2020A lovely spot with all the amenities you need for a trip to Auckland . A great location and lovely hosts. Would highly recommend**', '**LukeMarch 2020Spent 4 wonderful nights here. Room was spotless and comfortable. Mary and George were very helpful and accommodating from the check in, to seeing if we needed anything during our stay, to giving us our ride to our next Airbnb. Would defiantly recommend staying here.Spent 4 wonderful nights here. Room was spotless and comfortable. Mary and George were very helpful and accommodating from the check in, to seeing if we needed anything during our… read more**', '**']",within a few hours,100,['Unknown']
Brussels,Quiet & design private flat near Expo /1 ,Bruxelles,0,0,0,0,0,1,0,1,1,Entire apartment,Bruxelles-Ville,2.0,1,1.0,1,45.0,4.89,54,19.0,http://airbnb.com/rooms/22778869?location=Brussels%2C%20Belgium&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=26db5ec9-32ac-404f-8877-6800e9996f51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,1,0,"['MagdaFebruary 2020Fully recommend!**', ""**Aqib HudaFebruary 2020Camille is a beautiful host with immense knowledge of city. I had a great stay at her beautiful house located at a beautiful place just behind Atomium ( walking distance). I checked in late at night she told me how to self check in, it went smooth. She came in the morning and helped me with the locality and places i should visit.  I haven't faced a single issue while living in her apartment be it with communication, complains regarding anything, household stuff mess. The entrance and exit is smooth without any hinderance, no matter what time you leave house or what time you come back. I left the house as clean as i got while checked in. This was my perfect trip to Brussels while living at her place made it more beautiful. I'd love to stay again in her apartment whenever I'll visit Brussels again.Camille is a beautiful host with immense knowledge of city. I had a great stay at her beautiful house located at a beautiful place just behind Atomium ( walking distance). I checke… read more**"", ""**RachelFebruary 2020Camille was a very welcoming host, giving tips about travelling around Brussels, and where to go. The flat was clean, compact yet spacious, and had all the amenities we needed. The house was nice and quiet during the evening and night, with a little street noise in the morning, but not too early! There are a number of small supermarkets nearby for food, and a number of great local restaurants nearby (all filled with locals so you know they're food!) and the house is minutes on foot from the Atomium, and 10 minutes from Brussels Expo. Would definitely recommend, and if we find ourselves back in Brussels we would definitely stay here again.Camille was a very welcoming host, giving tips about travelling around Brussels, and where to go. The flat was clean, compact yet spacious, and had all the amenities we needed. The… read more**"", '**MateoAugust 2019Best host in Brussels! Loved being in Camille’s apartment. 100% recommended**', ""**EstherMarch 2019We've already stayed on Camille's appartment many times and it's always a super nice experience. It's just a walk away from the expo and the atomium, there are many places around to get some groceries or dinner, the bed is comfortable, the appartment is small and cozy but perfect for a couple, and you have everything you need for a short stay there.**"", '**InaOctober 2018The flat really felt like home. It is very clean, convenient and nicely decorated. Camille is an easy going and extremely helpful host. I can only recommend a stay!**', '**']",within an hour,100,"['English', ' Français']"
Cairo,Fully Equipped one bed studio ,Nasr City,1,0,0,0,0,1,0,0,1,Entire condominium,Nasr City,2.0,1,1.0,1,28.0,5.0,28,5.0,http://airbnb.com/rooms/36093945?location=Cairo%2C%20Egypt&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=b97641b4-fc2e-4a32-96ef-6eed48984977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,"['RaeedJanuary 2020Omar is outstanding host , his place is very cozy  and reasonably priced ,  I can’t put a price tag on Omar’s hospitality and charming personality, he was able to accommodate all my needs during my trip.**', '**YasmineJanuary 2020Omar is very helpful and will help with anything you need.**', '**RuthDecember 2019The space is cosy but perfect for a short visit to Cairo. It is close to local restaurants, shops, kiosks and isn’t far from the airport. Omar is very helpful and answers all questions and queries quickly. Had a really lovely time here!**', '**AiriOctober 2019The room is not big, but very clean, and there are all things what we need to stay. And the host always took care of us and help us.**', ""**AlbertJuly 2019Omar is a genuinely nice guy that goes above and beyond to ensure his guest is comfortable and feels at home. The apartment was new, clean and private enough that I can comfortably recommend his listing to anyone. Rest assured that I will definitely stay there again when next I'm in Cairo.Omar is a genuinely nice guy that goes above and beyond to ensure his guest is comfortable and feels at home. The apartment was new, clean and private enough that I can comfortably… read more**"", '**']",within an hour,100,['Unknown']
San Jose (Costa Rica),"Paso Fino yoga farm country horse ranch, 1 bed Apt ",Santa Ana,0,1,0,0,0,1,1,0,1,Entire apartment,Santa Ana,3.0,1,2.0,1,42.0,4.84,46,44.0,http://airbnb.com/rooms/27705982?location=San%20Jose%2C%20Costa%20Rica&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=ca4144d3-4857-46ec-83ae-ce20babcd76c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
Krakau,Kazimierz District / Starowiślna ,Kraków,0,0,0,0,0,1,0,0,1,Entire apartment,Kraków,4.0,Studio,2.0,1,28.0,4.6,37,132.0,http://airbnb.com/rooms/24355219?location=Krakau%2C%20Polen&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=0b08b394-5cf2-4300-aace-44a3aed836ef,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,1,0,[''],Unknown,Unknown,['Unknown']
